method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedKMeans,123128,4,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,12,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,12,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,9,50000000,5,InternalError,InternalError,InternalError,20
